Scientist,Index,Citations
F,1,145
F,2,124
F,3,115
F,4,98
F,5,81
F,6,80
F,7,74
F,8,72
F,9,68
F,10,60
F,11,55
F,12,45
F,13,38
F,14,38
F,15,37
F,16,37
F,17,34
F,18,33
F,19,30
F,20,29
F,21,28
F,22,28
F,23,28
F,24,27
F,25,27
F,26,27
F,27,25
F,28,22
F,29,20
F,30,20
F,31,19
F,32,19
F,33,18
F,34,17
F,35,17
F,36,17
F,37,17
F,38,15
F,39,15
F,40,15
C,1,423
C,2,315
C,3,93
C,4,80
C,5,78
C,6,71
C,7,66
C,8,60
C,9,59
C,10,57
C,11,54
C,12,46
C,13,45
C,14,45
C,15,37
C,16,32
C,17,29
C,18,29
C,19,28
C,20,27
C,21,25
C,22,20
C,23,19
C,24,18
C,25,17
C,26,14
C,27,12
C,28,12
C,29,11
C,30,10
C,31,10
C,32,8
C,33,8
C,34,8
C,35,8
C,36,7
C,37,6
C,38,6
C,39,5
C,40,5
B,1,120
B,2,63
B,3,63
B,4,57
B,5,57
B,6,53
B,7,51
B,8,48
B,9,46
B,10,45
B,11,41
B,12,41
B,13,39
B,14,38
B,15,36
B,16,29
B,17,24
B,18,21
B,19,21
B,20,21
B,21,21
B,22,20
B,23,20
B,24,20
B,25,19
B,26,18
B,27,16
B,28,15
B,29,15
B,30,14
B,31,13
B,32,11
B,33,11
B,34,10
B,35,9
B,36,8
B,37,7
B,38,6
B,39,6
B,40,5
E,1,498
E,2,306
E,3,288
E,4,256
E,5,207
E,6,123
E,7,112
E,8,95
E,9,94
E,10,81
E,11,80
E,12,74
E,13,73
E,14,68
E,15,61
E,16,59
E,17,51
E,18,46
E,19,43
E,20,40
E,21,39
E,22,36
E,23,31
E,24,30
E,25,27
E,26,23
E,27,23
E,28,23
E,29,17
E,30,16
E,31,13
E,32,11
E,33,11
E,34,11
E,35,7
E,36,6
E,37,6
E,38,6
E,39,5
E,40,5
A,1,938
A,2,583
A,3,274
A,4,248
A,5,229
A,6,117
A,7,82
A,8,77
A,9,53
A,10,39
A,11,36
A,12,35
A,13,35
A,14,31
A,15,19
A,16,8
A,17,5
A,18,4
A,19,3
A,20,2
A,21,1
D,1,778
D,2,402
D,3,274
D,4,196
D,5,192
D,6,163
D,7,162
D,8,137
D,9,128
D,10,123
D,11,107
D,12,103
D,13,102
D,14,78
D,15,72
D,16,65
D,17,58
D,18,57
D,19,55
D,20,54
D,21,31
D,22,28
D,23,26
D,24,26
D,25,24
D,26,21
D,27,18
D,28,17
D,29,14
D,30,14
D,31,13
D,32,13
D,33,8
D,34,8
D,35,7
D,36,6
D,37,5
D,38,5
D,39,3
D,40,2
